Name,Variables,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence,Calcium,ProteinProp,,,,,,,,,,,,,,,,,,,,,,,,,
FruitFlies,ID,Partners,Type,Longevity,Thorax,Sleep,Treatment,,,,,,,,,,,,,,,,,,,,
Goldenrod,Gdiam03,Stdiam03,Wall03,Fate03,Gdiam04,Stdiam04,Wall04,Fate04,Fly04,,,,,,,,,,,,,,,,,,
Grocery,Discount,Store,Display,Sales,Price,,,,,,,,,,,,,,,,,,,,,,
Gunnels,Gunnel,Time,Fromlow,Maxfetch,Slope,Rw,Gcrab,Rcrab,Jcrab,Lob,Amphiso,Subst,Pool,Water,Domalg,Cobble,,,,,,,,,,,
Hawks,Month,Day,Year,CaptureTime,ReleaseTime,BandNumber,Species,Age,Sex,Wing,Weight,Culmen,Hallux,Tail,StandardTail,Tarsus,WingPitFat,KeelFat,Crop,,,,,,,,
HawkTail,Species,Tail,,,,,,,,,,,,,,,,,,,,,,,,,
HawkTail2,Tail_RT,Tail_SS,,,,,,,,,,,,,,,,,,,,,,,,,
HearingTest,Subj,List,Percent,,,,,,,,,,,,,,,,,,,,,,,,
HighPeaks,Peak,Elevation,Difficulty,Ascent,Length,Time,,,,,,,,,,,,,,,,,,,,,
Hoops,Game,Opp,Home,OppAtt,GrAtt,Gr3Att,GrFT,OppFT,GrRB,GrOR,OppDR,OppPoint,GrPoint,GrAss,OppTO,GrTO,GrBlocks,GrSteal,40Point,30Point,WinLoss,PtDiff,,,,,
HorsePrices,HorseID,Price,Age,Height,Sex,,,,,,,,,,,,,,,,,,,,,,
Houses,Price,Size,Lot,,,,,,,,,,,,,,,,,,,,,,,,
ICU,ID,Survive,Age,AgeGroup,Sex,Infection,SysBP,Pulse,Emergency,,,,,,,,,,,,,,,,,,
InfantMortality,Mortality,Year,,,,,,,,,,,,,,,,,,,,,,,,,
InsuranceVote,Party,Dist.,InsVote,Rep,Dem,Private,Public,Uninsured,Obama,,,,,,,,,,,,,,,,,,
Jurors,Period,PctReport,Year,I2000,,,,,,,,,,,,,,,,,,,,,,,
Kids198,Height,Weight,Age,Sex,Race,,,,,,,,,,,,,,,,,,,,,,
LeafHoppers,Diet,Days,,,,,,,,,,,,,,,,,,,,,,,,,
Leukemia,Age,Smear,Infil,Index,Blasts,Temp,Resp,Time,Status,,,,,,,,,,,,,,,,,,
LongJumpOlympics,Year,Gold,,,,,,,,,,,,,,,,,,,,,,,,,
LostLetter,Location,Address,Returned,,,,,,,,,,,,,,,,,,,,,,,,
Marathon,Date,Miles,Time,Pace,ShoeBrand,TimeMin,PaceMin,Short,After2004,,,,,,,,,,,,,,,,,,
Markets,DJIAch,Date,Nik225ch,Up,lagNik,,,,,,,,,,,,,,,,,,,,,,
MathEnrollment,Ayear,Fall,Spring,,,,,,,,,,,,,,,,,,,,,,,,
MathPlacement,Student,Gender,PSATM,SATM,ACTM,Rank,Size,GPAadj,PlcmtScore,Recommends,Course,Grade,RecTaken,TooHigh,TooLow,CourseSuccess,,,,,,,,,,,
MedGPA,Accept,Acceptance,Sex,BCPM,GPA,VR,PS,WS,BS,MCAT,Apps,,,,,,,,,,,,,,,,
MentalHealth,Month,Moon,Admission,,,,,,,,,,,,,,,,,,,,,,,,
MetabolicRate,Computer,BodySize,LogBodySize,Instar,CO2ppm,Mrate,LogMrate,,,,,,,,,,,,,,,,,,,,
MetroHealth83,City,NumMDs,RateMDs,NumHospitals,NumBeds,RateBeds,NumMedicare,PctChangeMedicare,MedicareRate,SSBNum,SSBRate,SSBChange,NumRetired,SSINum,SSIRate,,,,,,,,,,,,
Milgram,Results,Score,,,,,,,,,,,,,,,,,,,,,,,,,
MLB2007Standings,Team,League,Wins,Losses,WinPct,BattingAvg,Runs,Hits,HR,Doubles,Triples,RBI,SB,OBP,SLG,ERA,HitsAllowed,Walks,StrikeOuts,Saves,WHIP,,,,,,
MothEggs,BodyMass,Eggs,,,,,,,,,,,,,,,,,,,,,,,,,
NCbirths,ID,Plural,Sex,MomAge,Weeks,Marital,RaceMom,HispMom,Gained,Smoke,Drink,BirthWeightOz,BirthWeightGm,Low,Premie,MomRace,,,,,,,,,,,
NFL2007Standings,Team,Conference,Division,Wins,Losses,WinPct,PointsFor,PointsAgainst,NetPts,TDs,,,,,,,,,,,,,,,,,
Nursing,Beds,InPatientDays,AllPatientDays,PatientRevenue,NurseSalaries,FacilitiesExpend,Rural,,,,,,,,,,,,,,,,,,,,
Olives,Group,Day,Fenthion,FenthionSulphoxide,FenthionSulphone,Time,Time,,,,,,,,,,,,,,,,,,,,
Orings,Temp,Failures,,,,,,,,,,,,,,,,,,,,,,,,,
Overdrawn,Age,Sex,DaysDrink,Overdrawn,,,,,,,,,,,,,,,,,,,,,,,
PalmBeach,County,Buchanan,Bush,,,,,,,,,,,,,,,,,,,,,,,,
Pedometer,Steps,Moderate,Min,kcal,Mile,Rain,Day,DayType,,,,,,,,,,,,,,,,,,,
Perch,Obs,Weight,Length,Width,,,,,,,,,,,,,,,,,,,,,,,
PigFeed,WgtGain,Antibiotic,B12,,,,,,,,,,,,,,,,,,,,,,,,
Pines,Row,Col,Hgt90,Hgt96,Diam96,Grow96,Hgt97,Diam97,Spread 97,Needles97,Deer95,Deer97,Cover95,Fert,Spacing,,,,,,,,,,,,
Political,Year,Sex,Vote,Paper,Edit,TV,Ethics,Inform,Participate,,,,,,,,,,,,,,,,,,
Pollster08,PollTaker,PollDates,MidDate,Days,n,Pop,McCain,Obama,Margin,Charlie,Meltdown,,,,,,,,,,,,,,,,
Popcorn,Unpopped,Brand,Trial,,,,,,,,,,,,,,,,,,,,,,,,
PorscheJaguar,Car,Price,Age,Mileage,Porsche,,,,,,,,,,,,,,,,,,,,,,
PorschePrice,Price,Age,Mileage,,,,,,,,,,,,,,,,,,,,,,,,
Pulse,Active,Rest,Smoke,Gender,Exercise,Hgt,Wgt,,,,,,,,,,,,,,,,,,,,
Putts1,Length,Made,,,,,,,,,,,,,,,,,,,,,,,,,
Putts2,Length,Made,Missed,Trials,,,,,,,,,,,,,,,,,,,,,,,
ReligionGDP,Country,Religiosity,GDP,Africa,EastEurope,MiddleEast,Asia,WestEurope,Americas,,,,,,,,,,,,,,,,,,
Retirement,Year,SRA,,,,,,,,,,,,,,,,,,,,,,,,,
RiverElements,River,Site,Al,Ba,Br,Ca,Ce,Cu,Dy,Er,Fe,Gd,Ho,K,La,Li,Mg,Mn,Nd,Pr,Rb,Si,Sr,Y,Yb,Zn,Zr
RiverIron,River,Site,Iron,LogIron,,,,,,,,,,,,,,,,,,,,,,,
SampleFG,ID,PlayerID,LastName,FirstName,Year,Team,Date,GoalsAttpted,GoalsMade,Attempt,Results,Yards,Results2,Blocks,,,,,,,,,,,,,
SandwichAnts,Trial,Bread,Filling,Butter,Ants,,,,,,,,,,,,,,,,,,,,,,
SATGPA,MathSAT,VerbalSAT,GPA,,,,,,,,,,,,,,,,,,,,,,,,
SeaSlugs,Time,Percent,,,,,,,,,,,,,,,,,,,,,,,,,
SemiconductorMTBF,Location,MTBF,,,,,,,,,,,,,,,,,,,,,,,,,
SpeciesArea,Name,Area,Species,logArea,logSpecies,,,,,,,,,,,,,,,,,,,,,,
Speed,Year,FatalityRate,StateControl,,,,,,,,,,,,,,,,,,,,,,,,
Swahili,Province,Sex,Attitude Score,School,,,,,,,,,,,,,,,,,,,,,,,
TextPrices,Pages,Price,,,,,,,,,,,,,,,,,,,,,,,,,
ThreeCars,CarType,Price,Age,Mileage,Porsche,Jaguar,BMW,,,,,,,,,,,,,,,,,,,,
TipJoke,Card,Tip,Ad,Joke,None,,,,,,,,,,,,,,,,,,,,,,
Titanic,Name,PClass,Age,Sex,Survived,SexCode,,,,,,,,,,,,,,,,,,,,,
TMS,Group,Yes,No,Trials,,,,,,,,,,,,,,,,,,,,,,,
TomlinsonRush,Game,Opponent,Attempts,Yards,,,,,,,,,,,,,,,,,,,,,,,
TwinsLungs,Pair,Environ,Percent,,,,,,,,,,,,,,,,,,,,,,,,
Usstamps,Year,Price,,,,,,,,,,,,,,,,,,,,,,,,,
Volts,Voltage,Time,,,,,,,,,,,,,,,,,,,,,,,,,
WalkingBabies,group,age,,,,,,,,,,,,,,,,,,,,,,,,,
WeightLossIncentive,WeightLoss,Group,Month7Loss,,,,,,,,,,,,,,,,,,,,,,,,
WeightLossIncentive4,WeightLoss,Group,,,,,,,,,,,,,,,,,,,,,,,,,
WeightLossIncentive7,Group,Month7Loss,,,,,,,,,,,,,,,,,,,,,,,,,
WordMemory,Subject,Abstract,Frequent,Percent,,,,,,,,,,,,,,,,,,,,,,,
YouthRisk2007,ride.alc.driver,female,grade,age4,smoke,DriverLicense,,,,,,,,,,,,,,,,,,,,,
YouthRisk2009,Sleep,Sleep7,SmokeLife,SmokeDaily,MarijuaEver,Age,,,,,,,,,,,,,,,,,,,,,
